00:34:32:462.229   Line: 096/6, intID = 0
00:34:32:463.290   Line: 112/7, intID = 0
00:34:32:464.361   Line: 128/8, intID = 0
00:34:32:465.425   Line: 144/9, intID = 0
00:34:32:466.499   Line: 160/10, intID = 0
00:34:32:467.561   Line: 176/11, intID = 0
00:34:32:468.627   Line: 192/12, intID = 0
00:34:32:469.697   Line: 208/13, intID = 0
00:34:32:470.764   Line: 224/14, intID = 0
00:34:32:471.830   Line: 240/15, intID = 0
00:34:32:472.898   Line: 256/16, intID = 0
00:34:32:473.966   Line: 272/17, intID = 0
00:34:32:475.034   Line: 288/18, intID = 0
00:34:32:476.102   Line: 304/19, intID = 0
00:34:32:477.168   Line: 320/20, intID = 0
00:34:32:478.235   Line: 336/21, intID = 0
00:34:32:479.306   Line: 352/22, intID = 0
00:34:32:480.370   Line: 368/23, intID = 0
00:34:32:481.444   Line: 384/24, intID = 0
00:34:32:482.511   Line: 400/25, intID = 0
00:34:32:483.573   Line: 416/26, intID = 0
00:34:32:484.642   Line: 432/27, intID = 0
00:34:32:485.707   Line: 448/28, intID = 0
00:34:32:486.777   Line: 464/29, intID = 0
00:34:32:487.842   Line: 480/30, intID = 0
00:34:32:488.919   Line: 496/31, intID = 0
00:34:32:489.980   Line: 512/32, intID = 0
00:34:32:491.042   Line: 016/1, intID = 0

00:34:32:492.118   Line: 032/2, intID = 0
00:34:32:493.182   Line: 048/3, intID = 0
00:34:32:494.253   Line: 064/4, intID = 0
00:34:32:495.315   Line: 080/5, intID = 0
00:34:32:496.385   Line: 096/6, intID = 0
00:34:32:497.453   Line: 112/7, intID = 0
00:34:32:498.518   Line: 128/8, intID = 0
00:34:32:499.591   Line: 144/9, intID = 0
00:34:32:500.652   Line: 160/10, intID = 0
00:34:32:501.722   Line: 176/11, intID = 0
00:34:32:502.788   Line: 192/12, intID = 0
00:34:32:503.856   Line: 208/13, intID = 0
00:34:32:504.924   Line: 224/14, intID = 0
00:34:32:505.994   Line: 240/15, intID = 0
00:34:32:507.060   Line: 256/16, intID = 0
00:34:32:508.129   Line: 272/17, intID = 0
00:34:32:509.193   Line: 288/18, intID = 0
00:34:32:510.262   Line: 304/19, intID = 0
00:34:32:511.327   Line: 320/20, intID = 0
00:34:32:512.394   Line: 336/21, intID = 0
00:34:32:513.472   Line: 352/22, intID = 0
00:34:32:514.530   Line: 368/23, intID = 0
00:34:32:515.597   Line: 384/24, intID = 0
00:34:32:516.666   Line: 400/25, intID = 0
00:34:32:517.734   Line: 416/26, intID = 0
00:34:32:518.800   Line: 432/27, intID = 0
00:34:32:519.868   Line: 448/28, intID = 0
00:34:32:520.936   Line: 464/29, intID = 0
00:34:32:522.006   Line: 480/30, intID = 0
00:34:32:523.069   Line: 496/31, intID = 0
00:34:32:524.143   Line: 512/32, intID = 0
00:34:32:525.208   Line: 016/1, intID = 0

00:34:32:526.268   Line: 032/2, intID = 0
00:34:32:527.333   Line: 048/3, intID = 0
00:34:32:528.412   Line: 064/4, intID = 0
00:34:32:529.482   Line: 080/5, intID = 0
00:34:32:530.543   Line: 096/6, intID = 0
00:34:32:531.616   Line: 112/7, intID = 0
00:34:32:532.679   Line: 128/8, intID = 0
00:34:32:533.744   Line: 144/9, intID = 0
00:34:32:534.812   Line: 160/10, intID = 0
00:34:32:535.880   Line: 176/11, intID = 0
00:34:32:536.948   Line: 192/12, intID = 0
00:34:32:538.016   Line: 208/13, intID = 0
00:34:32:539.087   Line: 224/14, intID = 0
00:34:32:540.150   Line: 240/15, intID = 0
00:34:32:541.219   Line: 256/16, intID = 0
00:34:32:542.285   Line: 272/17, intID = 0
00:34:32:543.355   Line: 288/18, intID = 0
00:34:32:544.420   Line: 304/19, intID = 0
00:34:32:545.488   Line: 320/20, intID = 0
00:34:32:546.560   Line: 336/21, intID = 0
00:34:32:547.623   Line: 352/22, intID = 0
00:34:32:548.691   Line: 368/23, intID = 0
00:34:32:549.757   Line: 384/24, intID = 0
00:34:32:550.826   Line: 400/25, intID = 0
00:34:32:551.892   Line: 416/26, intID = 0
00:34:32:552.960   Line: 432/27, intID = 0
00:34:32:554.030   Line: 448/28, intID = 0
00:34:32:555.096   Line: 464/29, intID = 0
00:34:32:556.162   Line: 480/30, intID = 0
00:34:32:557.230   Line: 496/31, intID = 0
00:34:32:558.298   Line: 512/32, intID = 0
00:34:32:559.364   Line: 016/1, intID = 0

00:34:32:560.428   Line: 032/2, intID = 0
00:34:32:561.501   Line: 048/3, intID = 0
00:34:32:562.574   Line: 064/4, intID = 0
00:34:32:563.641   Line: 080/5, intID = 0
00:34:32:564.703   Line: 096/6, intID = 0
00:34:32:565.778   Line: 112/7, intID = 0
00:34:32:566.838   Line: 128/8, intID = 0
00:34:32:567.904   Line: 144/9, intID = 0
00:34:32:568.971   Line: 160/10, intID = 0
00:34:32:570.041   Line: 176/11, intID = 0
00:34:32:571.107   Line: 192/12, intID = 0
00:34:32:572.174   Line: 208/13, intID = 0
00:34:32:573.248   Line: 224/14, intID = 0
00:34:32:574.310   Line: 240/15, intID = 0
00:34:32:575.376   Line: 256/16, intID = 0
00:34:32:576.444   Line: 272/17, intID = 0
00:34:32:577.513   Line: 288/18, intID = 0
00:34:32:578.581   Line: 304/19, intID = 0
00:34:32:579.647   Line: 320/20, intID = 0
00:34:32:580.721   Line: 336/21, intID = 0
00:34:32:581.782   Line: 352/22, intID = 0
00:34:32:582.849   Line: 368/23, intID = 0
00:34:32:583.918   Line: 384/24, intID = 0
00:34:32:584.987   Line: 400/25, intID = 0
00:34:32:586.053   Line: 416/26, intID = 0
00:34:32:587.119   Line: 432/27, intID = 0
00:34:32:588.192   Line: 448/28, intID = 0
00:34:32:589.257   Line: 464/29, intID = 0
00:34:32:590.321   Line: 480/30, intID = 0
00:34:32:591.389   Line: 496/31, intID = 0
00:34:32:592.458   Line: 512/32, intID = 0
00:34:32:593.521   Line: 016/1, intID = 0

00:34:32:594.585   Line: 032/2, intID = 0
00:34:32:595.662   Line: 048/3, intID = 0
00:34:32:596.731   Line: 064/4, intID = 0
00:34:32:597.802   Line: 080/5, intID = 0
00:34:32:598.861   Line: 096/6, intID = 0
00:34:32:599.933   Line: 112/7, intID = 0
00:34:32:600.997   Line: 128/8, intID = 0
00:34:32:602.065   Line: 144/9, intID = 0
00:34:32:603.133   Line: 160/10, intID = 0
00:34:32:604.200   Line: 176/11, intID = 0
00:34:32:605.268   Line: 192/12, intID = 0
00:34:32:606.334   Line: 208/13, intID = 0
00:34:32:607.402   Line: 224/14, intID = 0
00:34:32:608.469   Line: 240/15, intID = 0
00:34:32:609.537   Line: 256/16, intID = 0
00:34:32:610.604   Line: 272/17, intID = 0
00:34:32:611.678   Line: 288/18, intID = 0
00:34:32:612.740   Line: 304/19, intID = 0
00:34:32:613.808   Line: 320/20, intID = 0
00:34:32:614.875   Line: 336/21, intID = 0
00:34:32:615.944   Line: 352/22, intID = 0
00:34:32:617.010   Line: 368/23, intID = 0
00:34:32:618.076   Line: 384/24, intID = 0
00:34:32:619.143   Line: 400/25, intID = 0
00:34:32:620.212   Line: 416/26, intID = 0
00:34:32:621.279   Line: 432/27, intID = 0
00:34:32:622.346   Line: 448/28, intID = 0
00:34:32:623.413   Line: 464/29, intID = 0
00:34:32:624.483   Line: 480/30, intID = 0
00:34:32:625.549   Line: 496/31, intID = 0
00:34:32:626.616   Line: 512/32, intID = 0
00:34:32:627.678   Line: 016/1, intID = 0

00:34:32:628.753   Line: 032/2, intID = 0
00:34:32:629.819   Line: 048/3, intID = 0
00:34:32:630.893   Line: 064/4, intID = 0
00:34:32:631.955   Line: 080/5, intID = 0
00:34:32:633.025   Line: 096/6, intID = 0
00:34:32:634.090   Line: 112/7, intID = 0
00:34:32:635.161   Line: 128/8, intID = 0
00:34:32:636.224   Line: 144/9, intID = 0
00:34:32:637.293   Line: 160/10, intID = 0
00:34:32:638.359   Line: 176/11, intID = 0
00:34:32:639.426   Line: 192/12, intID = 0
00:34:32:640.494   Line: 208/13, intID = 0
00:34:32:641.563   Line: 224/14, intID = 0
00:34:32:642.630   Line: 240/15, intID = 0
00:34:32:643.696   Line: 256/16, intID = 0
00:34:32:644.763   Line: 272/17, intID = 0
00:34:32:645.833   Line: 288/18, intID = 0
00:34:32:646.900   Line: 304/19, intID = 0
00:34:32:647.966   Line: 320/20, intID = 0
00:34:32:649.035   Line: 336/21, intID = 0
00:34:32:650.104   Line: 352/22, intID = 0
00:34:32:651.169   Line: 368/23, intID = 0
00:34:32:652.235   Line: 384/24, intID = 0
00:34:32:653.303   Line: 400/25, intID = 0
00:34:32:654.373   Line: 416/26, intID = 0
00:34:32:655.439   Line: 432/27, intID = 0
00:34:32:656.506   Line: 448/28, intID = 0
00:34:32:657.573   Line: 464/29, intID = 0
00:34:32:658.643   Line: 480/30, intID = 0
00:34:32:659.709   Line: 496/31, intID = 0
00:34:32:660.776   Line: 512/32, intID = 0
00:34:32:661.851   Line: 016/1, intID = 0

00:34:32:662.915   Line: 032/2, intID = 0
00:34:32:663.980   Line: 048/3, intID = 0
00:34:32:665.051   Line: 064/4, intID = 0
00:34:32:666.115   Line: 080/5, intID = 0
00:34:32:667.184   Line: 096/6, intID = 0
00:34:32:668.249   Line: 112/7, intID = 0
00:34:32:669.321   Line: 128/8, intID = 0
00:34:32:670.383   Line: 144/9, intID = 0
00:34:32:671.453   Line: 160/10, intID = 0
00:34:32:672.519   Line: 176/11, intID = 0
00:34:32:673.586   Line: 192/12, intID = 0
00:34:32:674.653   Line: 208/13, intID = 0
00:34:32:675.723   Line: 224/14, intID = 0
00:34:32:676.789   Line: 240/15, intID = 0
